0 1 2 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 18 11
29 30 22 3 4 5 23 15 16 17 10 19
20 28 22 3 4 5 6 15 8 9 10 11
20 1 22 3 4 5 6 7 8 9 10 11
12 28 22 3 4 5 6 7 8 9 10 11
20 28 2 14 4 26 6 15 8 9 18 11
12 1 2 3 4 26 6 7 16 9 18 11
0 21 2 14 4 5 6 7 8 9 10 11
12 25 22 3 4 5 6 15 8 17 10 19
20 1 22 3 4 5 6 7 8 17 10 11
20 28 2 3 4 26 6 7 8 9 10 11
29 30 2 3 4 26 6 15 8 9 10 11
12 28 2 14 4 5 6 15 8 9 10 11
29 28 2 14 4 5 23 15 16 17 18 11
0 24 22 3 4 5 6 7 8 9 10 11
20 28 22 3 4 5 23 7 16 9 10 19
29 24 22 3 4 5 6 7 8 17 10 11
0 33 2 14 4 5 6 7 8 9 10 19
20 13 2 14 4 5 6 7 8 9 10 11
0 33 2 3 4 5 6 7 16 9 10 19
0 13 22 3 4 5 6 7 8 9 10 11
20 25 2 3 4 26 6 7 8 9 10 11
29 25 22 3 4 5 6 7 16 9 18 11
20 27 2 3 4 26 6 15 8 9 10 11
12 25 2 3 4 26 6 7 8 9 10 11
29 25 22 3 4 5 6 7 8 9 10 11
20 1 2 3 4 26 6 7 8 9 10 11
12 24 2 14 4 5 6 7 8 9 10 11
20 13 22 3 4 5 6 7 8 9 10 11
20 1 2 14 4 26 6 7 8 9 10 11
0 27 22 3 4 5 6 15 8 17 10 19
20 24 2 3 4 5 6 15 8 9 10 11
29 31 2 3 4 26 23 7 8 9 10 11
12 1 2 3 4 26 6 7 8 17 10 11
0 33 2 14 4 5 6 7 8 9 10 11
12 24 2 14 4 5 6 7 8 17 10 11
0 13 2 14 4 5 6 7 16 9 18 19
29 30 2 14 4 26 6 7 8 9 10 11
20 21 2 14 4 5 6 15 16 9 10 11
20 24 2 3 4 26 6 15 8 9 10 11
0 13 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 5 6 15 8 9 10 11
20 28 22 3 4 5 6 7 8 17 18 11
0 27 2 3 4 26 6 7 8 9 10 11
12 25 22 3 4 5 6 7 8 9 10 11
12 27 22 3 4 5 6 7 8 17 18 11
29 1 2 14 4 5 6 7 8 9 10 11
29 30 2 3 4 5 6 7 8 9 10 19
29 31 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 5 23 7 16 17 10 11
0 21 2 14 4 5 6 7 8 9 10 11
20 24 22 3 4 5 6 7 8 17 10 19
20 33 22 3 4 5 6 7 8 9 10 11
12 33 2 3 4 26 6 7 8 17 10 11
29 1 2 3 4 26 6 7 8 9 10 19
29 31 2 14 4 5 6 15 8 9 10 11
29 31 2 14 4 26 6 15 8 9 10 11
29 1 22 3 4 5 6 7 8 17 10 11
12 1 2 3 4 26 6 7 8 17 18 11
29 28 22 3 4 5 6 7 8 9 10 11
29 28 2 3 4 26 6 7 8 9 10 11
12 1 2 3 4 26 6 7 8 9 10 11
12 24 2 3 4 5 6 15 16 9 18 11
29 25 2 3 34 5 6 7 8 9 10 19
0 1 22 3 4 5 6 7 8 17 10 19
20 1 2 3 4 26 6 7 8 9 10 11
12 25 22 3 4 5 6 15 16 17 18 11
20 1 22 3 4 5 23 7 8 9 10 11
29 30 22 3 4 5 6 7 16 9 10 11
20 24 22 3 4 5 6 15 8 9 18 19
20 33 2 3 4 26 6 15 8 9 10 11
12 31 22 3 4 5 6 15 8 17 10 11
29 27 22 3 4 5 6 7 8 17 10 11
20 33 22 3 4 5 6 15 16 9 10 11
12 27 2 3 4 26 6 7 8 17 10 11
29 30 2 3 4 26 6 7 8 17 18 11
29 31 22 3 4 5 6 15 8 9 10 11
0 13 22 3 4 5 6 15 16 9 18 19
29 31 2 14 4 5 6 7 8 9 10 11
0 13 2 3 4 26 6 7 8 9 10 11
29 25 2 3 4 26 6 15 8 9 10 11
0 27 2 3 4 5 6 7 16 17 10 11
12 1 2 3 4 5 6 7 8 9 10 11
12 27 2 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 18 11
29 30 22 3 4 5 6 7 8 9 10 11
0 28 2 3 4 26 6 7 8 9 10 11
20 27 2 3 4 26 6 7 8 9 10 11
12 31 2 14 4 5 6 7 8 9 10 11
29 28 22 3 4 5 6 7 8 9 10 11
0 33 22 3 4 5 6 7 8 9 10 11
0 27 2 14 4 26 6 7 8 9 10 11
12 13 2 3 4 26 6 15 8 9 10 11
20 33 22 3 4 5 23 7 8 9 10 11
20 25 2 14 4 5 6 7 8 9 10 11
12 25 2 3 4 5 6 15 8 17 10 11
20 1 22 3 4 5 6 7 8 9 10 11
12 25 2 14 4 5 6 15 16 17 18 11
29 27 22 3 4 5 6 15 8 9 10 11
20 33 22 3 4 5 6 7 16 9 10 11
29 25 22 3 4 5 6 7 8 9 10 11
12 25 22 3 4 5 6 7 8 9 10 11
29 1 22 3 4 5 6 7 16 9 10 19
12 1 2 14 4 5 6 7 8 9 18 11
12 28 22 3 4 5 6 7 8 17 10 19
29 28 22 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 26 6 7 8 9 10 11
29 31 22 3 4 5 23 7 8 17 10 11
0 1 2 3 4 26 6 7 8 9 10 11
29 31 2 3 4 26 6 7 8 9 18 11
0 13 2 3 4 26 6 7 8 9 10 11
0 24 2 14 4 5 6 7 8 9 10 11
0 13 2 3 34 5 6 7 8 9 10 11
12 24 22 3 4 5 6 7 8 9 10 11
0 1 22 3 4 5 6 7 8 9 10 11
12 25 2 3 4 26 6 35 8 17 10 11
20 33 2 14 4 5 6 15 8 17 10 11
0 13 22 3 4 5 6 7 8 9 10 11
12 31 22 3 4 5 6 7 8 9 10 11
12 27 2 3 4 26 6 7 8 9 10 11
0 27 22 3 4 5 6 7 8 9 10 11
29 1 22 3 4 5 23 15 16 17 10 11
29 27 2 3 4 26 6 7 16 17 10 19
20 27 22 3 4 5 6 7 8 9 10 11
29 31 2 14 4 5 6 7 8 9 10 11
12 13 2 3 4 26 6 7 8 17 18 11
12 1 2 3 4 26 6 7 8 9 10 11
12 27 2 3 4 26 6 7 8 17 18 11
0 24 2 3 4 26 6 7 8 9 10 11
12 28 2 3 4 5 6 7 8 9 10 11
12 1 22 3 4 5 6 7 8 9 10 19
12 25 2 3 4 26 6 15 16 9 10 11
29 31 2 3 4 5 6 7 16 17 18 11
29 1 2 3 4 26 6 15 8 9 10 11
29 28 22 3 4 5 6 7 8 9 18 11
29 30 22 3 4 5 6 15 8 9 18 11
20 28 22 3 4 26 6 15 8 9 18 11
12 1 2 3 34 5 6 7 8 17 18 11
29 25 22 3 4 5 6 15 8 17 10 11
12 31 22 3 4 5 6 7 8 9 10 19
0 13 2 3 4 26 6 7 8 9 10 11
12 25 22 3 4 5 6 7 16 9 18 19
29 31 2 3 4 26 6 7 8 9 10 19
0 28 2 3 4 26 6 7 8 17 10 11
20 25 2 14 4 5 6 7 8 9 10 11
12 33 2 3 4 26 6 7 16 9 18 11
20 25 2 3 4 5 6 7 8 9 10 11
0 13 2 3 34 26 6 15 16 17 18 11
12 25 22 3 4 5 6 7 8 9 10 11
0 24 2 14 4 26 6 7 8 17 10 11
12 28 2 3 4 26 6 15 8 9 10 19
0 24 22 3 4 5 6 7 8 9 10 11
0 33 2 14 4 5 6 7 8 9 10 11
20 28 2 14 4 5 6 7 8 9 10 11
0 24 2 3 4 26 6 7 8 9 10 19
29 25 2 3 4 26 6 15 8 9 10 11
12 1 22 3 4 5 6 7 8 9 10 19
29 31 2 3 4 5 6 7 8 17 10 11
12 25 22 3 4 5 6 15 8 9 18 11
0 28 22 3 4 5 6 7 8 9 10 11
0 21 2 3 4 26 6 7 16 9 18 11
29 1 2 3 4 26 6 7 8 9 18 19
20 13 2 3 4 26 6 7 8 9 10 11
29 30 22 3 4 5 6 15 8 9 10 11
20 27 22 3 4 5 6 7 16 9 18 11
29 31 2 14 4 5 6 7 16 9 10 19
29 27 22 3 4 5 6 15 8 17 18 11
29 31 2 14 4 5 6 7 8 9 10 11
12 1 2 3 4 26 6 7 8 9 10 11
0 13 22 3 4 5 6 7 8 9 10 11
20 1 2 3 4 5 6 15 8 9 10 11
29 30 2 3 4 26 6 7 8 9 10 11
20 13 2 3 4 26 6 7 8 17 18 11
12 25 22 3 4 5 6 7 8 17 18 11
29 31 22 3 4 5 23 7 8 9 10 19
12 31 22 3 4 5 6 7 8 9 10 11
20 1 2 14 4 5 6 7 8 9 10 11
29 25 2 14 4 26 6 7 8 9 18 11
20 25 2 3 4 5 6 7 8 9 10 19
29 28 2 3 4 26 6 7 8 9 10 11
20 21 2 3 4 26 6 7 8 9 10 11
29 28 22 3 4 5 6 7 8 9 18 11
0 24 22 3 4 5 6 7 8 17 10 11
20 1 22 3 4 5 23 15 8 9 10 11
0 21 2 3 4 26 6 7 8 17 10 11
20 25 2 3 4 5 6 7 8 9 10 11
12 28 22 3 4 5 6 7 8 9 10 11
0 28 2 3 4 26 6 7 8 9 10 11
29 27 2 3 4 5 6 7 16 17 10 11
0 33 22 3 4 5 6 7 16 17 18 19
29 31 22 3 4 5 6 15 8 9 10 11
12 24 22 3 4 5 6 7 8 9 10 11
0 13 22 3 4 5 6 15 16 17 18 11
12 1 22 3 4 5 6 7 8 9 10 11
12 31 2 3 4 5 6 7 8 9 10 11
29 30 2 3 4 5 6 7 8 9 10 11
29 24 2 3 4 5 6 7 16 9 10 11
29 30 22 3 4 5 6 7 8 17 18 19
12 31 22 3 4 5 6 15 16 17 10 19
29 31 2 3 4 26 6 7 8 9 10 11
29 30 2 3 4 26 6 15 8 9 10 11
20 1 22 3 4 5 6 7 8 9 10 11
0 28 22 3 4 5 6 7 8 9 10 11
0 21 2 3 4 26 6 7 8 9 10 11
12 1 22 3 4 5 6 15 8 17 10 19
0 27 2 14 4 5 6 15 16 17 18 11
0 21 2 3 4 26 23 7 16 17 10 11
12 28 2 14 4 5 23 15 8 17 18 11
20 28 2 3 4 26 6 7 8 9 18 11
0 27 2 3 4 26 6 15 16 9 10 11
20 24 2 14 4 5 6 15 8 9 10 11
29 24 22 3 4 5 6 7 8 9 10 11
12 28 22 3 4 5 6 7 8 9 10 11
0 28 2 14 4 5 6 15 8 17 10 11
20 24 2 3 4 5 6 7 8 17 10 11
20 21 22 3 4 5 6 7 8 9 10 11
20 28 22 3 4 5 6 7 8 9 10 19
0 1 2 14 4 5 6 7 8 9 10 11
0 1 2 14 4 5 23 15 8 9 10 11
29 31 22 3 4 5 6 7 8 17 10 11
29 28 2 3 4 26 6 35 8 17 10 11
20 27 2 3 4 26 6 7 8 9 10 11
29 25 2 3 4 26 6 7 8 9 10 11
29 28 2 14 4 26 6 7 8 9 10 11
20 28 22 3 4 5 6 7 8 17 10 11
0 28 22 3 4 5 6 7 8 9 10 11
20 27 2 3 4 5 6 7 8 9 10 11
0 24 22 3 4 5 6 7 16 17 10 19
20 28 2 3 4 26 6 7 8 9 10 11
20 1 2 3 4 26 6 7 8 9 10 11
20 24 2 14 4 5 23 15 8 9 10 11
20 28 22 3 4 5 6 7 16 9 10 11
29 30 2 3 4 26 6 7 16 17 10 19
20 27 2 3 4 26 6 7 16 9 18 11
12 31 22 3 4 5 6 7 8 9 18 11
29 27 22 3 4 5 6 7 8 9 10 11
12 25 22 3 4 5 6 7 8 9 10 11
12 25 2 3 4 26 6 7 8 9 10 11
29 27 2 3 4 26 6 7 8 9 10 11
29 30 2 3 4 26 6 7 8 9 10 11
29 30 2 3 4 26 6 15 8 9 10 11
12 28 2 3 4 5 6 7 8 9 10 11
29 25 2 3 34 5 6 7 8 9 18 11
20 1 22 3 4 5 6 15 8 9 10 11
12 25 22 3 4 5 6 7 8 9 10 11
29 28 22 3 4 5 6 15 16 17 10 19
29 30 22 3 4 5 6 7 8 9 18 11
0 1 2 3 4 26 6 15 8 17 10 11
0 21 2 3 4 26 23 7 16 17 10 11
0 28 22 3 4 5 6 7 8 9 18 11
20 28 22 3 4 5 6 7 16 9 10 11
0 13 22 3 4 5 6 15 8 9 10 11
0 27 2 3 4 26 6 7 8 9 18 11
12 25 22 3 4 5 23 7 16 17 10 11
29 24 2 3 4 26 6 7 8 9 10 11
12 13 22 3 4 5 23 15 16 9 18 11
12 28 2 3 4 26 6 7 8 9 10 11
20 28 22 3 4 26 6 7 8 9 10 11
12 28 22 3 4 26 6 7 16 17 10 11
0 21 2 3 4 5 6 7 8 17 10 11
20 1 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 26 6 7 8 17 10 11
29 30 22 3 4 5 6 7 8 9 10 11
29 25 22 3 4 5 6 7 8 9 10 19
29 30 22 3 4 5 6 7 8 9 10 11
29 30 2 3 4 26 6 7 8 9 10 11
0 27 22 3 4 5 6 7 8 9 10 11
20 28 2 14 4 5 6 7 8 17 10 11
29 30 2 3 4 26 6 7 8 9 10 11
20 24 2 3 4 26 6 15 8 9 10 11
12 1 2 3 4 26 6 15 8 9 10 11
20 1 2 3 4 26 6 15 8 17 18 19
29 1 2 3 4 5 6 7 16 17 18 11
0 33 2 3 4 26 6 7 8 9 10 11
0 27 22 3 4 5 6 7 8 9 10 11
12 25 2 3 4 26 6 7 8 9 10 11
12 25 22 3 4 5 6 15 16 9 18 11
29 30 22 3 4 5 6 7 8 9 18 11
29 25 22 3 4 5 6 7 8 17 10 19
29 1 2 3 4 26 6 15 8 9 10 11
0 1 22 3 4 5 6 15 8 9 18 11
20 27 22 3 4 5 6 7 8 9 18 11
0 24 22 3 4 5 6 7 8 9 10 11
29 1 2 3 4 26 6 7 8 17 10 11
20 28 2 14 4 5 6 7 8 9 10 19
29 30 2 3 4 26 6 7 8 9 10 11
0 21 22 3 4 5 6 7 8 17 10 11
20 28 2 3 4 26 23 7 8 9 18 11
0 24 2 3 4 26 6 7 8 9 10 19
0 1 2 3 4 26 6 7 16 9 10 19
12 1 22 3 4 5 6 7 8 9 10 11
0 28 2 3 4 26 6 7 8 9 10 19
20 25 2 3 4 26 6 15 8 9 18 11
0 27 2 14 4 5 6 7 8 17 10 11
0 21 22 3 4 5 6 15 16 17 10 11
12 1 22 3 4 5 6 7 16 17 10 11
12 27 22 3 4 5 6 7 16 9 18 19
20 1 2 3 4 26 6 15 16 9 10 11
12 28 2 3 4 26 6 7 8 17 10 11
12 28 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 26 6 7 8 9 18 11
29 1 2 3 4 5 6 7 8 9 10 11
29 24 22 3 4 5 6 7 16 9 10 19
29 1 2 3 4 26 6 7 8 9 10 11
20 25 2 3 4 26 6 7 8 9 10 11
12 25 2 14 4 5 6 7 8 9 10 11
12 25 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 26 6 15 16 17 18 19
20 1 2 3 4 26 23 7 16 9 10 11
29 25 22 3 4 5 6 7 8 9 10 11
0 24 22 3 4 5 6 7 16 9 18 11
20 27 22 3 4 5 6 7 16 9 10 19
0 24 22 3 4 5 6 7 8 9 10 11
29 30 2 3 4 5 6 7 8 9 10 11
29 25 22 3 4 5 6 7 8 9 10 11
20 28 2 3 4 26 6 7 8 9 10 11
12 25 2 3 4 5 6 7 8 9 10 11
0 27 22 3 4 5 6 7 8 17 10 11
20 33 2 3 4 26 6 7 8 9 10 19
0 1 2 3 4 26 6 7 8 9 10 11
29 25 2 3 4 26 6 15 8 9 18 19
20 28 2 3 34 5 6 7 8 17 18 11
20 27 2 3 4 26 6 7 8 9 10 11
0 1 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 26 6 7 8 17 18 19
12 28 2 3 4 5 6 15 8 9 10 11
29 13 22 3 4 5 6 7 16 9 10 11
12 28 2 3 4 26 6 7 8 9 10 11
0 21 22 3 4 5 6 7 8 9 10 11
0 27 22 3 4 5 6 7 8 9 18 11
29 25 22 3 4 5 6 7 8 17 10 11
20 21 2 3 34 5 6 7 8 9 10 11
0 13 22 3 4 5 6 7 8 9 10 11
29 25 22 3 4 5 6 15 8 9 18 11
0 24 2 3 34 5 6 7 8 9 18 11
29 25 2 3 4 26 6 15 16 9 10 11
12 31 2 14 4 5 6 7 8 17 10 11
20 25 2 3 4 26 6 15 8 9 10 11
0 28 2 14 4 5 6 15 8 9 10 11
12 13 22 3 4 5 6 7 8 9 10 11
12 28 22 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 10 11
12 13 22 3 4 5 6 7 8 9 10 11
20 1 2 3 4 26 6 7 8 9 10 11
20 24 2 3 4 5 23 7 8 9 18 11
20 28 2 3 4 26 6 7 8 9 10 11
0 27 2 3 4 26 6 7 8 9 10 11
12 1 22 3 4 5 6 15 8 9 10 11
20 33 2 3 4 5 6 7 16 17 18 11
12 1 2 3 4 26 23 7 8 17 18 11
29 30 2 3 4 26 6 7 8 9 10 11
12 27 22 3 4 5 6 7 8 9 10 11
20 1 2 3 4 26 6 7 8 9 10 11
20 27 2 3 4 26 6 7 8 9 18 11
0 1 22 3 4 5 6 7 8 17 10 11
12 1 2 3 34 5 6 7 16 9 18 19
29 25 22 3 4 5 6 7 8 9 10 11
29 25 22 3 4 5 6 7 8 9 10 11
29 1 2 3 4 5 6 7 8 9 18 11
29 31 22 3 4 5 6 7 8 9 18 11
29 25 2 3 4 26 6 7 8 9 18 11
0 24 22 3 4 5 6 7 16 9 10 11
20 27 2 3 4 5 6 7 8 17 10 11
0 28 2 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 10 11
20 1 2 14 4 26 6 7 16 17 10 11
29 30 2 14 4 5 23 15 8 9 18 11
12 24 2 3 4 26 6 7 8 9 10 11
12 25 2 3 4 26 6 7 8 9 10 11
20 28 22 3 4 5 23 7 8 9 10 11
20 28 2 3 4 5 6 7 8 9 10 11
29 27 2 3 4 26 6 7 8 9 10 11
12 28 22 3 4 5 6 7 8 9 18 11
0 24 22 3 4 5 6 7 8 9 10 19
12 1 2 3 4 26 6 7 8 9 10 11
20 28 22 3 4 5 6 7 8 9 10 11
20 13 2 3 4 26 6 7 8 9 10 11
20 33 22 3 4 5 6 7 8 9 10 11
12 1 2 3 4 5 6 7 8 9 10 11
29 25 2 14 4 26 6 7 8 17 18 11
29 24 2 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 10 11
29 24 2 3 4 26 6 7 8 9 10 11
29 1 22 3 4 5 6 7 8 9 10 11
12 25 2 3 4 26 6 7 8 9 10 11
12 27 22 3 4 5 6 7 16 17 10 11
12 28 2 14 4 5 6 7 8 9 18 11
29 31 22 3 4 5 6 15 8 9 10 11
29 33 22 3 4 5 6 7 16 17 10 11
29 25 22 3 4 5 6 7 8 9 10 11
29 25 2 3 4 26 6 7 8 17 18 11
29 28 22 3 4 26 6 7 8 9 18 11
20 24 2 3 4 26 6 7 8 9 10 11
20 27 22 3 4 5 6 7 8 9 10 11
29 30 2 3 4 26 6 7 16 9 10 11
0 28 22 3 4 5 6 15 8 9 10 11
12 27 22 3 4 5 6 7 8 9 10 11
29 28 22 3 4 5 6 7 8 9 10 11
29 31 22 3 4 5 6 7 8 9 18 11
20 28 22 3 4 5 6 7 8 9 10 11
0 28 22 3 4 5 6 7 8 9 10 11
0 13 2 3 4 26 6 7 8 9 18 11
20 28 2 3 4 26 6 7 8 9 18 11
0 27 2 14 4 5 6 7 8 17 10 11
29 30 2 14 4 5 6 7 8 9 10 11
0 13 22 3 4 5 6 35 16 9 18 11
29 31 22 3 4 5 6 7 8 9 10 11
20 27 22 3 4 5 6 7 8 9 10 11
29 31 2 14 4 5 6 7 8 9 18 11
0 13 22 3 4 5 6 7 8 9 10 11
20 33 2 3 4 5 6 7 8 9 10 11
20 25 2 3 4 26 6 7 8 9 10 11
12 28 2 14 4 5 6 7 8 9 10 11
20 24 2 3 4 26 6 7 8 9 10 11
29 25 2 14 4 26 6 7 8 9 10 11
12 24 22 3 4 5 6 7 8 9 10 11
29 31 2 3 4 26 6 7 8 9 10 11
0 28 2 14 4 5 6 15 16 9 10 11
